+2025-05-03 21:11:03.402 | DEBUG    | arb | __get_logger.py | 97 | __get_logger.get_logger() called with name = 'arb', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\__init__.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:04.247 | DEBUG    | arb.utils.file_io | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.utils.file_io', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\utils\\file_io.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:04.247 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
+2025-05-03 21:11:04.247 | DEBUG    | arb.portal.config | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.portal.config', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\portal\\config.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:04.247 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
+2025-05-03 21:11:04.248 | DEBUG    | arb.portal.config | config.py | 43 | PROJECT_ROOT=C:\Users\theld\OneDrive - California Air Resources Board\code\pycharm\feedback_portal
+2025-05-03 21:11:04.248 | DEBUG    | arb.portal.config | config.py | 51 | UPLOAD_PATH=C:\Users\theld\OneDrive - California Air Resources Board\code\pycharm\feedback_portal\portal_uploads
+2025-05-03 21:11:04.418 | DEBUG    | arb.portal.extensions | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.portal.extensions', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\portal\\extensions.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:04.418 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
+2025-05-03 21:11:04.421 | DEBUG    | arb.portal.globals | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.portal.globals', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\portal\\globals.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:04.421 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
+2025-05-03 21:11:04.436 | DEBUG    | arb.utils.web_html | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.utils.web_html', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\utils\\web_html.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:04.436 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
+2025-05-03 21:11:04.437 | DEBUG    | arb.portal.db_hardcoded | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.portal.db_hardcoded', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\portal\\db_hardcoded.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:04.437 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
+2025-05-03 21:11:04.439 | DEBUG    | arb.utils.sql_alchemy | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.utils.sql_alchemy', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\utils\\sql_alchemy.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:04.440 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
+2025-05-03 21:11:04.444 | DEBUG    | arb.utils.excel | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.utils.excel', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\utils\\excel\\__init__.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:04.445 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
+2025-05-03 21:11:05.007 | DEBUG    | arb.utils.json | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.utils.json', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\utils\\json.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:05.008 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
+2025-05-03 21:11:05.008 | DEBUG    | arb.utils.excel.xl_parse | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.utils.excel.xl_parse', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\utils\\excel\\xl_parse.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:05.008 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
+2025-05-03 21:11:05.009 | DEBUG    | arb.utils.excel.xl_parse | xl_parse.py | 40 | initialize_module() called
+2025-05-03 21:11:05.009 | DEBUG    | arb.utils.excel.xl_parse | xl_parse.py | 59 | set_globals() called with xl_base_path_=None, xl_base_schema_path_=None, xl_schema_file_map_=None
+2025-05-03 21:11:05.009 | DEBUG    | arb.utils.excel.xl_parse | xl_parse.py | 65 | xl_base_path=WindowsPath('C:/one_drive/code/pycharm/feedback_portal/source/production/arb/portal')
+2025-05-03 21:11:05.009 | DEBUG    | arb.utils.excel.xl_parse | xl_parse.py | 69 | xl_base_path.name='portal'
+2025-05-03 21:11:05.009 | DEBUG    | arb.utils.excel.xl_parse | xl_parse.py | 81 | Looks like this is run from an app.py flask app ... updating the base directory
+2025-05-03 21:11:05.009 | DEBUG    | arb.utils.excel.xl_parse | xl_parse.py | 83 | New base path: xl_base_path=WindowsPath('C:/one_drive/code/pycharm/feedback_portal/source/production/arb/utils/excel')
+2025-05-03 21:11:05.010 | DEBUG    | arb.utils.excel.xl_parse | xl_parse.py | 119 | load_schema_file_map() called with schema_file_map={'landfill_v01_00': WindowsPath('C:/one_drive/code/pycharm/feedback_portal/source/production/arb/utils/excel/xl_schemas/landfill_v01_00.json'), 'oil_and_gas_v01_00': WindowsPath('C:/one_drive/code/pycharm/feedback_portal/source/production/arb/utils/excel/xl_schemas/oil_and_gas_v01_00.json'), 'energy_v00_01': WindowsPath('C:/one_drive/code/pycharm/feedback_portal/source/production/arb/utils/excel/xl_schemas/energy_v00_01.json')}
+2025-05-03 21:11:05.010 | DEBUG    | arb.utils.json | json.py | 172 | json_load_with_meta() called with file_path=WindowsPath('C:/one_drive/code/pycharm/feedback_portal/source/production/arb/utils/excel/xl_schemas/landfill_v01_00.json'), json_options=None
+2025-05-03 21:11:05.010 | DEBUG    | arb.utils.json | json.py | 142 | json_load() called with file_path=WindowsPath('C:/one_drive/code/pycharm/feedback_portal/source/production/arb/utils/excel/xl_schemas/landfill_v01_00.json'), json_options=None
+2025-05-03 21:11:05.016 | DEBUG    | arb.utils.json | json.py | 172 | json_load_with_meta() called with file_path=WindowsPath('C:/one_drive/code/pycharm/feedback_portal/source/production/arb/utils/excel/xl_schemas/oil_and_gas_v01_00.json'), json_options=None
+2025-05-03 21:11:05.016 | DEBUG    | arb.utils.json | json.py | 142 | json_load() called with file_path=WindowsPath('C:/one_drive/code/pycharm/feedback_portal/source/production/arb/utils/excel/xl_schemas/oil_and_gas_v01_00.json'), json_options=None
+2025-05-03 21:11:05.019 | DEBUG    | arb.utils.json | json.py | 172 | json_load_with_meta() called with file_path=WindowsPath('C:/one_drive/code/pycharm/feedback_portal/source/production/arb/utils/excel/xl_schemas/energy_v00_01.json'), json_options=None
+2025-05-03 21:11:05.019 | DEBUG    | arb.utils.json | json.py | 142 | json_load() called with file_path=WindowsPath('C:/one_drive/code/pycharm/feedback_portal/source/production/arb/utils/excel/xl_schemas/energy_v00_01.json'), json_options=None
